World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Broad Impact	Patents	Score
427	Sichuan University	China	25	378+	588	235+	241	424	664	407	507	45.20
428	University of Rostock	Germany	35	376	594+	235+	449	569	541	365	291	45.20
429	Jagiellonian University	Poland	1	378+	594+	235+	399	465	664	365	391	45.20
430	Saint Petersburg State University	Russia	3	50	233	235+	613	553	664	750	856	45.19
431	University of Tampere	Finland	6	378+	353	235+	528	399	664	357	735	45.18
432	Vienna University of Technology	Austria	5	375	392	235+	388	383	268	430	199	45.18
433	Loyola University Chicago	USA	142	378+	372	235+	548	417	380	357	745	45.18
434	University of Savoy	France	19	378+	594+	235+	473	436	295	357	763	45.17
435	Brigham Young University	USA	143	313	364	235+	501	432	295	452	161	45.17
436	University of Modena and Reggio Emilia	Italy	22	378+	556	235+	448	458	295	365	745	45.17
437	University of Siena	Italy	23	378+	508	235+	423	381	324	371	491	45.17
438	University of Mississippi	USA	144	378+	594+	235+	379	411	324	375	471	45.17
439	Aristotle University of Thessaloniki	Greece	2	378+	594+	235+	356	698	380	375	763	45.16
440	University of Chile	Chile	2	255	176	235+	427	349	664	470	502	45.15
441	Tongji University	China	26	181	141	235+	322	456	664	588	516	45.15
442	Kyung Hee University	South Korea	12	256	520	235+	375	564	541	512	126	45.15
443	University College Cork	Ireland	3	378+	457	235+	430	425	380	424	187	45.14
444	Chalmers University of Technology	Sweden	10	373	329	235+	369	441	664	389	821	45.14
445	Oklahoma State University	USA	145	263	184	235+	451	652	436	481	347	45.14
446	Ewha Womans University	South Korea	13	378+	594+	235+	461	571	664	452	146	45.14
447	East China University of Science and Technology	China	27	378+	594+	235+	408	799	664	396	240	45.13
448	Macquarie University	Australia	9	378+	348	235+	374	333	436	396	471	45.13
449	University of Warsaw	Poland	2	105	585	150	411	434	380	452	719	45.13
450	University of Seville	Spain	10	378+	590	235+	338	519	436	547	118	45.13
451	Southeast University	China	28	192	485	235+	355	677	818+	441	213	45.13
452	Kanazawa University	Japan	18	378+	403	235+	494	429	541	407	213	45.13
453	University of Denver	USA	146	324	109	235+	881	515	541	588	507	45.10
454	University of Parma	Italy	24	378+	365	235+	444	496	324	389	704	45.10
455	University of Wollongong	Australia	10	378+	271	235+	416	439	380	430	440	45.08
456	University of Strathclyde	United Kingdom	36	378+	229	235+	394	488	380	507	264	45.08
457	Syracuse University	USA	147	149	209	235+	466	498	664	494	403	45.08
458	Kumamoto University	Japan	19	322	400	235+	520	446	541	470	165	45.08
459	University of Zaragoza	Spain	11	377	411	235+	342	644	541	441	267	45.07
460	Brunel University	United Kingdom	37	378+	285	235+	510	670	436	407	536	45.07
461	Polytechnic University of Valencia	Spain	12	378+	594+	235+	398	520	541	470	173	45.07
462	Augusta University	USA	148	378+	594+	235+	496	401	436	381	644	45.06
463	University of Udine	Italy	25	378+	594+	235+	602	404	664	375	523	45.06
464	Technical University of Dortmund	Germany	36	378+	594+	235+	468	523	380	396	356	45.06
465	École normale supérieure de Lyon	France	20	378+	594+	207	475	203	541	396	558	45.05
466	University of Dayton	USA	149	360	95	235+	997	907	436	776	461	45.05
467	University of KwaZulu-Natal	South Africa	4	378+	148	235+	540	395	324	547	644	45.04
468	Ohio University	USA	150	227	178	235+	605	509	818+	617	175	45.04
469	University of Saskatchewan	Canada	19	350	325	235+	343	438	380	470	350	45.04
470	University of Ulsan	South Korea	14	378+	424	235+	405	563	664	407	437	45.04
471	Indian Institute of Science	India	3	378+	379	235+	327	543	436	470	303	45.03
472	University of Newcastle	Australia	11	378+	594+	235+	392	494	541	424	312	45.03
473	Juntendo University	Japan	20	378+	594+	235+	654	503	541	381	704	45.03
474	Polytechnic University of Catalonia	Spain	13	378+	327	235+	373	618	380	588	144	45.03
475	Bielefeld University	Germany	37	378+	594+	235+	493	393	436	389	690	45.02
476	University of Wyoming	USA	151	378+	281	235+	538	311	380	463	321	45.02
477	University of Ljubljana	Slovenia	1	378+	594+	235+	348	405	324	424	584	45.02
478	University of Sherbrooke	Canada	20	378+	572	235+	458	418	268	407	611	45.02
479	Concordia University	Canada	21	378+	122	235+	541	768	664	627	745	45.02
480	Martin Luther University of Halle-Wittenberg	Germany	38	370	594+	203	400	352	664	407	674	45.01
481	University of Coimbra	Portugal	3	371	559	235+	412	419	664	407	482	45.01
482	Illinois Institute of Technology	USA	152	291	105	235+	773	702	664	719	841	45.01
483	University of Rennes 1	France	21	378+	594+	235+	358	371	541	441	350	45.01
484	University of the Basque Country	Spain	14	378+	583	235+	314	382	541	481	295	45.00
485	University of Nice Sophia Antipolis	France	22	283	594+	235+	452	265	541	407	611	45.00
486	Osaka City University	Japan	21	118	390	235+	522	575	295	481	453	44.99
487	Georgia State University	USA	153	378+	369	235+	447	450	436	441	350	44.99
488	Eötvös Loránd University	Hungary	1	95	594+	117	574	452	268	525	802	44.99
489	Clemson University	USA	154	378+	510	235+	446	518	436	430	326	44.98
490	University of Nevada, Reno	USA	155	378+	426	235+	551	384	380	420	491	44.98
491	Niigata University	Japan	22	378+	305	235+	564	475	541	494	222	44.97
492	Texas Tech University	USA	156	378+	205	235+	462	554	268	536	592	44.97
493	University of Maryland, Baltimore County	USA	157	378+	594+	235+	612	397	541	407	417	44.96
494	University of Akron	USA	158	378+	384	235+	676	634	541	661	108	44.96
495	Lanzhou University	China	29	378+	567	235+	334	629	664	452	719	44.95
496	University of Nantes	France	23	378+	594+	235+	477	453	541	420	547	44.95
497	Auburn University	USA	159	185	213	235+	492	582	380	606	250	44.95
498	University of Wisconsin–Milwaukee	USA	160	237	225	235+	518	463	664	507	912+	44.95
499	University of Hull	United Kingdom	38	315	243	159	599	595	664	512	502	44.94
500	University of Hanover	Germany	39	378+	513	235+	442	544	380	463	315	44.94
501	University of Catania	Italy	26	226	594+	235+	445	697	380	430	841	44.94
502	University of Oviedo	Spain	15	378+	517	235+	443	451	295	441	611	44.94
503	Bar-Ilan University	Israel	6	295	432	235+	410	402	541	470	346	44.94
504	Nara Institute of Science and Technology	Japan	23	378+	594+	235+	802	362	541	519	153	44.94
505	University of Konstanz	Germany	40	378+	594+	235+	476	319	380	430	471	44.94
506	University of Tartu	Estonia	1	310	594+	235+	571	302	436	424	453	44.94
507	University of Brescia	Italy	27	378+	594+	235+	584	614	818+	407	790	44.93
508	Nagasaki University	Japan	24	318	220	235+	626	679	664	566	227	44.93
509	Tokyo University of Science	Japan	25	235	594+	235+	546	555	436	489	218	44.93
510	University of Bayreuth	Germany	41	378+	594+	235+	467	340	295	441	659	44.93
511	Panjab University	India	4	346	187	235+	741	797	324	536	821	44.92
512	University of Tasmania	Australia	12	378+	594+	235+	425	272	664	441	763	44.92
513	University of Crete	Greece	3	378+	594+	235+	504	512	664	424	883	44.91
514	Chonbuk National University	South Korea	15	378+	594+	235+	503	755	664	627	123	44.91
515	University of Surrey	United Kingdom	39	222	288	235+	433	562	818+	525	332	44.91
516	University of Tromsø - The Arctic University of Norway	Norway	4	378+	594+	235+	486	413	324	441	745	44.91
517	Royal Holloway, University of London	United Kingdom	40	378+	536	235+	582	332	436	430	644	44.90
518	University of Bremen	Germany	42	378+	594+	235+	470	304	324	463	461	44.90
519	Federal University of Minas Gerais	Brazil	4	378+	320	235+	417	545	436	566	215	44.89
520	Technical University of Madrid	Spain	16	221	249	235+	472	739	541	759	138	44.89
521	University of Science and Technology Beijing	China	30	378+	111	235+	542	932	541	820	576	44.88
522	Mahidol University	Thailand	2	378+	594+	235+	457	345	541	452	883	44.88
523	Creighton University	USA	161	378+	594+	235+	835	724	380	441	411	44.88
524	University Lille 1: Sciences and Technologies	France	24	378+	594+	235+	376	410	380	489	491	44.88
525	Middle East Technical University	Turkey	1	378+	158	235+	579	859	436	636	912+	44.87
526	University of Canterbury	New Zealand	3	197	194	235+	581	443	436	588	883	44.87
527	Hunan University	China	31	378+	315	235+	455	863	541	494	719	44.87
528	University of Missouri–Kansas City	USA	162	323	414	235+	634	427	664	452	704	44.86
529	Tokyo Metropolitan University	Japan	26	378+	446	235+	607	482	324	463	633	44.86
530	University of Potsdam	Germany	43	378+	594+	235+	486	312	541	463	611	44.86
531	University of Palermo	Italy	28	378+	594+	235+	460	538	541	463	611	44.86
532	Baylor University	USA	163	378+	290	235+	650	588	324	507	584	44.86
533	Medical University of Graz	Austria	6	378+	594+	235+	544	505	818+	452	516	44.86
534	Aalborg University	Denmark	5	378+	427	235+	521	631	324	494	350	44.86
535	Ajou University	South Korea	16	378+	453	235+	634	687	664	661	126	44.86
536	University of Zagreb	Croatia	1	378+	594+	235+	556	506	436	452	763	44.85
537	Gyeongsang National University	South Korea	17	378+	594+	235+	641	686	541	627	133	44.85
538	James Cook University	Australia	13	378+	594+	235+	491	263	541	470	719	44.85
539	University of Malaya	Malaysia	1	378+	157	235+	498	822	664	719	342	44.85
540	National Chung Hsing University	Taiwan	5	378+	246	235+	437	636	436	558	912+	44.84
541	Yokohama City University	Japan	27	378+	260	235+	703	369	664	536	374	44.84
542	International School for Advanced Studies	Italy	29	378+	594+	235+	640	415	541	452	821	44.84
543	University of Trento	Italy	30	378+	594+	235+	495	476	436	470	883	44.83
544	Curtin University	Australia	14	378+	586	235+	402	380	541	494	558	44.83
545	NUI Galway	Ireland	4	378+	549	235+	562	513	541	519	234	44.83
546	University of Tokushima	Japan	28	115	594+	235+	682	473	818+	588	225	44.82
547	University of Lübeck	Germany	44	378+	594+	235+	645	376	818+	463	633	44.82
548	Shinshu University	Japan	29	378+	539	235+	608	598	436	494	312	44.82
549	National Central University	Taiwan	6	234	594+	235+	402	444	436	507	883	44.82
550	East China Normal University	China	32	378+	256	235+	421	616	818+	566	659	44.82
551	Tokyo University of Agriculture and Technology	Japan	30	378+	594+	235+	666	810	541	673	129	44.82
552	Soochow University (Suzhou)	China	33	378+	594+	235+	357	721	818+	512	592	44.82
553	Plymouth University	United Kingdom	41	378+	561	235+	525	466	541	481	600	44.81
554	Otto-von-Guericke University Magdeburg	Germany	45	378+	594+	235+	500	612	436	489	491	44.81
555	University of Ioannina	Greece	4	378+	594+	235+	601	811	541	470	912+	44.80
556	University of Cagliari	Italy	31	378+	594+	235+	531	556	541	481	735	44.80
557	Central China Normal University	China	34	378+	594+	235+	631	813	541	470	821	44.80
558	Catholic University of Korea	South Korea	18	378+	594+	235+	549	727	664	581	179	44.80
559	University of Portsmouth	United Kingdom	42	378+	509	235+	780	691	240	494	841	44.80
560	Graduate University for Advanced Studies	Japan	31	378+	594+	235+	620	283	818+	481	912+	44.79
561	University of Arkansas - Fayetteville	USA	164	216	306	235+	587	610	541	547	391	44.79
562	University of Windsor	Canada	22	378+	129	235+	782	900	818+	790	704	44.79
563	SUNY Downstate Medical Center	USA	165	378+	594+	154	769	457	818+	507	507	44.79
564	Deakin University	Australia	15	378+	428	235+	464	665	380	512	625	44.79
565	National Yang-Ming University	Taiwan	7	378+	594+	235+	344	504	818+	525	821	44.79
566	New York Medical College	USA	166	378+	594+	235+	793	651	818+	470	659	44.79
567	National Polytechnic Institute of Toulouse	France	25	378+	237	235+	481	637	541	606	456	44.79
568	Kent State University	USA	167	378+	594+	235+	622	448	541	489	461	44.79
569	University of La Laguna	Spain	17	378+	594+	235+	511	353	436	494	735	44.78
570	University of Alaska Fairbanks	USA	168	378+	407	235+	641	378	541	494	763	44.78
571	Chang Gung University	Taiwan	8	378+	594+	235+	340	591	818+	536	883	44.77
572	Montana State University	USA	169	378+	512	235+	584	331	324	512	471	44.77
573	Griffith University	Australia	16	378+	594+	235+	414	492	324	525	600	44.77
574	Yokohama National University	Japan	32	91	223	191	941	886	664	846	342	44.77
575	Federal University of Rio Grande do Sul	Brazil	5	378+	594+	235+	415	547	436	519	821	44.76
576	Second University of Naples	Italy	32	378+	594+	235+	550	632	664	494	883	44.76
577	New Mexico State University	USA	170	378+	460	235+	727	643	436	494	912+	44.76
578	University of Montana	USA	171	365	459	235+	722	343	324	512	659	44.75
579	Utah State University	USA	172	171	362	235+	566	408	380	566	440	44.75
580	China Agricultural University	China	35	378+	506	235+	404	361	818+	536	592	44.75
581	Universidade Nova de Lisboa	Portugal	4	378+	594+	163	497	462	541	536	600	44.74
582	Inha University	South Korea	19	378+	351	235+	586	787	380	581	295	44.74
583	University of Hertfordshire	United Kingdom	43	378+	594+	235+	799	420	541	494	790	44.74
584	Tata Institute of Fundamental Research	India	5	378+	594+	235+	470	422	324	525	821	44.74
585	University of Aveiro	Portugal	5	378+	594+	235+	423	694	541	558	363	44.73
586	University of Toledo	USA	173	378+	594+	235+	621	567	664	617	192	44.73
587	University of Rhode Island	USA	174	378+	264	235+	685	375	541	627	350	44.72
588	Indian Institute of Technology Madras	India	6	378+	172	235+	555	953	818+	759	425	44.72
589	Cranfield University	United Kingdom	44	378+	160	235+	767	818	664	776	429	44.72
590	University of Salamanca	Spain	18	378+	475	235+	553	497	380	525	704	44.72
591	Carleton University	Canada	23	378+	563	235+	505	744	380	525	912+	44.72
592	University of Texas at Arlington	USA	175	378+	594+	235+	506	546	541	547	384	44.71
593	Tokyo Women's Medical University	Japan	33	378+	594+	235+	805	607	541	512	536	44.71
594	Bangor University	United Kingdom	45	271	404	235+	623	583	436	547	461	44.71
595	University of Minho	Portugal	6	378+	594+	235+	558	666	324	566	326	44.71
596	Shanghai University	China	36	378+	571	235+	488	928	818+	525	856	44.71
597	Indian Institute of Technology Roorkee	India	7	378+	356	235+	840	938	324	547	912+	44.70
598	University of Eastern Piedmont "Amedeo Avogadro"	Italy	33	378+	594+	235+	663	624	436	519	719	44.70
599	Memorial University of Newfoundland	Canada	24	378+	554	235+	573	542	436	525	659	44.70
600	University of Graz	Austria	7	361	476	221	580	589	818+	525	659	44.70
601	Queensland University of Technology	Australia	17	378+	582	235+	454	741	664	558	425	44.70
602	King Saud University	Saudi Arabia	1	378+	186	235+	513	478	818+	759	429	44.70
603	Florida International University	USA	176	378+	587	235+	490	471	436	547	516	44.70
604	Southern Illinois University Carbondale	USA	177	212	551	235+	606	537	664	536	547	44.70
605	University of Belgrade	Serbia	1	292	594+	235+	384	600	324	588	856	44.69
606	University of Fribourg	Switzerland	8	247	274	235+	710	440	436	617	856	44.69
607	Konkuk University	South Korea	20	378+	366	235+	529	730	541	648	240	44.69
608	Paris-Est Créteil Val-de-Marne University	France	26	378+	402	235+	705	640	818+	536	883	44.69
609	Wuhan University of Technology	China	37	378+	527	235+	694	938	436	525	735	44.69
610	Beijing University of Chemical Technology	China	38	378+	516	235+	537	987	818+	617	240	44.69
611	Fuzhou University	China	39	378+	391	235+	702	987	436	547	611	44.68
612	City University London	United Kingdom	46	378+	138	235+	783	909	818+	907	461	44.68
613	Braunschweig University of Technology	Germany	46	242	594+	235+	566	374	664	588	303	44.68
614	Indian Institute of Technology Kharagpur	India	8	378+	237	235+	508	978	818+	673	704	44.68
615	Gunma University	Japan	34	378+	594+	235+	662	539	541	606	251	44.67
616	Mississippi State University	USA	178	165	227	235+	604	560	541	733	491	44.67
617	Northern Illinois University	USA	179	378+	272	235+	688	675	295	648	704	44.67
618	University of Cantabria	Spain	19	378+	546	235+	610	596	295	566	600	44.66
619	Northeast Normal University	China	40	378+	594+	235+	667	779	818+	536	912+	44.66
620	Uniformed Services University of the Health Sciences	USA	180	378+	594+	235+	630	486	436	547	912+	44.66
621	Massey University	New Zealand	4	378+	478	235+	561	528	664	558	719	44.66
622	Federal University of São Paulo	Brazil	6	378+	594+	235+	483	628	436	566	790	44.65
623	Tokai University	Japan	35	378+	594+	235+	757	656	664	558	403	44.65
624	La Trobe University	Australia	18	378+	479	235+	515	426	818+	566	719	44.65
625	Donghua University	China	41	378+	594+	235+	781	972	240	581	763	44.65
626	Nagoya City University	Japan	36	378+	381	235+	801	572	436	581	502	44.65
627	University of Los Andes (Colombia)	Colombia	1	378+	179	235+	870	524	380	790	802	44.64
628	Marche Polytechnic University	Italy	34	378+	594+	235+	686	664	818+	547	790	44.64
629	University of Jyväskylä	Finland	7	378+	574	235+	465	487	818+	581	763	44.64
630	Open University (UK)	United Kingdom	47	378+	594+	235+	643	398	664	558	802	44.64
631	Semmelweis University	Hungary	2	378+	594+	235+	637	464	664	558	719	44.64
632	Flinders University	Australia	19	133	594+	235+	509	540	818+	636	674	44.63
633	University of New Orleans	USA	181	378+	594+	235+	989	829	295	566	841	44.63
634	Örebro University	Sweden	11	378+	503	235+	807	757	541	558	912+	44.63
635	University of the Balearic Islands	Spain	20	378+	594+	235+	646	561	664	566	584	44.62
636	University of Idaho	USA	182	378+	594+	235+	681	480	541	566	600	44.62
637	Comenius University in Bratislava	Slovak Republic	1	378+	594+	235+	687	623	436	566	856	44.62
638	University of Paris 13	France	27	378+	594+	235+	673	751	541	566	690	44.62
639	University of Québec at Montreal	Canada	25	378+	418	235+	532	550	541	606	912+	44.62
640	Rovira i Virgili University	Spain	21	378+	594+	235+	539	557	436	588	576	44.62
641	University of Toyama	Japan	37	378+	297	235+	707	812	664	636	841	44.62
642	Kitasato University	Japan	38	378+	594+	117	748	622	818+	706	253	44.62
643	Old Dominion University	USA	183	378+	594+	235+	732	578	436	588	417	44.61
644	National Technical University of Athens	Greece	5	198	491	235+	534	953	436	617	912+	44.61
645	Warsaw University of Technology	Poland	3	357	568	235+	698	788	268	606	856	44.61
646	Ehime University	Japan	39	378+	537	235+	629	599	541	588	447	44.61
647	Hong Kong Baptist University	Hong Kong	6	378+	540	235+	592	932	541	581	763	44.61
648	State University of New York Upstate Medical University	USA	184	378+	594+	235+	797	604	380	581	576	44.61
649	Birkbeck, University of London	United Kingdom	48	196	594+	166	737	341	664	627	883	44.61
650	University of Patras	Greece	6	378+	594+	235+	529	735	541	588	763	44.61
651	American University of Beirut	Lebanon	1	127	214	235+	843	842	818+	832	912+	44.61
652	Istanbul University	Turkey	2	224	429	235+	692	534	818+	606	912+	44.61
653	UNESP, São Paulo State University	Brazil	7	378+	594+	235+	349	587	436	673	659	44.60
654	Binghamton University	USA	185	378+	242	235+	720	658	818+	706	674	44.60
655	Polytechnic University of Turin	Italy	35	378+	594+	235+	478	825	541	661	295	44.60
656	Tampere University of Technology	Finland	8	378+	201	235+	817	630	664	776	745	44.60
657	University of Essex	United Kingdom	49	136	370	235+	708	682	380	686	912+	44.60
658	Palacký University, Olomouc	Czech Republic	2	378+	594+	235+	706	558	436	588	507	44.60
659	Portland State University	USA	186	378+	247	235+	796	601	818+	706	547	44.60
660	Victoria University of Wellington	New Zealand	5	332	276	235+	593	495	664	695	547	44.60
661	University of Debrecen	Hungary	3	378+	594+	235+	700	617	436	588	558	44.60
662	China Medical University (Taiwan)	Taiwan	9	378+	594+	235+	429	678	818+	627	856	44.60
663	Czech Technical University in Prague	Czech Republic	3	359	594+	235+	667	771	436	588	644	44.60
664	University of Maine	USA	187	378+	594+	139	795	433	436	686	370	44.59
665	Liverpool John Moores University	United Kingdom	50	378+	594+	235+	728	394	541	588	625	44.59
666	Albany Medical College	USA	188	178	594+	235+	913	801	818+	606	735	44.59
667	Louisiana Tech University	USA	189	378+	208	235+	975	891	541	776	690	44.59
668	Hacettepe University	Turkey	3	378+	594+	235+	657	606	664	588	912+	44.59
669	Chungnam National University	South Korea	21	378+	594+	235+	480	566	664	648	378	44.59
670	Swinburne University of Technology	Australia	20	378+	594+	235+	651	477	541	606	690	44.58
671	University of Girona	Spain	22	378+	594+	235+	637	828	541	606	690	44.58
672	Keele University	United Kingdom	51	378+	594+	235+	658	529	380	617	611	44.58
673	University of South Australia	Australia	21	378+	300	235+	547	667	541	719	403	44.58
674	Banaras Hindu University	India	9	252	280	235+	762	923	664	695	912+	44.58
675	Beijing Institute of Technology	China	42	378+	594+	235+	499	959	664	627	592	44.57
676	Indian Institute of Technology Bombay	India	10	378+	533	235+	523	855	664	673	315	44.57
677	University of Burgundy	France	28	233	594+	235+	516	514	664	636	659	44.57
678	Kagoshima University	Japan	40	378+	328	235+	756	681	664	759	240	44.57
679	Sharif University of Technology	Iran	1	124	594+	235+	568	963	436	695	912+	44.57
680	Graz University of Technology	Austria	8	378+	594+	235+	678	765	436	636	403	44.57
681	Lille 2 University of Health and Law	France	29	378+	594+	235+	777	570	818+	606	674	44.56
682	University François Rabelais, Tours	France	30	213	594+	235+	651	500	818+	627	704	44.56
683	Tilburg University	Netherlands	13	378+	279	235+	554	848	436	733	912+	44.56
684	New Jersey Institute of Technology	USA	190	273	448	235+	812	663	436	807	185	44.56
685	Kaiserslautern University of Technology	Germany	47	378+	548	235+	684	548	818+	617	659	44.56
686	University of Kent	United Kingdom	52	378+	421	235+	614	414	541	648	558	44.56
687	Royal College of Surgeons in Ireland	Ireland	5	378+	594+	235+	875	674	380	627	461	44.56
688	Osaka Prefecture University	Japan	41	378+	387	235+	716	789	818+	719	257	44.56
689	University of L'Aquila	Italy	36	378+	594+	235+	671	689	664	617	790	44.56
690	University of Insubria	Italy	37	378+	594+	235+	715	581	818+	617	912+	44.55
691	University of Nevada, Las Vegas	USA	191	378+	434	235+	659	508	818+	636	735	44.55
692	University of Vigo	Spain	23	378+	594+	235+	589	817	436	636	644	44.55
693	Heriot-Watt University	United Kingdom	53	378+	317	235+	609	585	818+	719	412	44.55
694	University of Science, Malaysia	Malaysia	2	378+	594+	235+	654	883	436	759	218	44.54
695	University of Salerno	Italy	38	378+	594+	235+	545	837	541	648	523	44.54
696	University of Texas at San Antonio	USA	192	378+	594+	235+	679	533	818+	648	412	44.54
697	University of Pretoria	South Africa	5	378+	295	235+	597	552	436	733	611	44.54
698	Gifu University	Japan	42	378+	532	235+	731	683	664	673	326	44.54
699	Rochester Institute of Technology	USA	193	378+	420	235+	926	627	324	661	547	44.54
700	Istanbul Technical University	Turkey	4	378+	436	235+	659	843	541	648	841	44.54
701	University of Picardie Jules Verne	France	31	378+	594+	235+	825	764	380	636	592	44.54
702	Loughborough University	United Kingdom	54	378+	594+	235+	535	861	541	661	491	44.54
703	Capital Medical University	China	43	378+	594+	235+	489	705	541	661	802	44.53
704	King Abdullah University of Science and Technology	Saudi Arabia	2	378+	594+	129	598	479	664	807	273	44.53
705	Beihang University	China	44	378+	354	235+	432	855	818+	750	471	44.53
706	Swansea University	United Kingdom	55	378+	456	235+	524	511	664	673	600	44.53
707	King Fahd University of Petroleum and Minerals	Saudi Arabia	3	378+	159	235+	939	936	664	989	912+	44.53
708	University of Szeged	Hungary	4	378+	594+	223	676	715	818+	648	482	44.53
709	University of Greifswald	Germany	48	378+	594+	228	693	507	664	648	491	44.53
710	Johannes Kepler University of Linz	Austria	9	378+	375	235+	791	654	541	673	558	44.53
711	Jichi Medical University	Japan	43	378+	594+	235+	923	641	541	636	592	44.52
712	Kaohsiung Medical University	Taiwan	10	378+	594+	235+	526	866	818+	661	763	44.52
713	Loma Linda University	USA	194	378+	594+	235+	845	759	818+	661	391	44.52
714	University of Missouri–St. Louis	USA	195	378+	316	235+	908	541	664	706	558	44.52
715	University of Yamanashi	Japan	44	282	594+	235+	901	913	664	733	249	44.52
716	Jawaharlal Nehru Centre for Advanced Scientific Research	India	11	378+	594+	146	893	647	664	706	471	44.52
717	Roma Tre University	Italy	39	378+	594+	235+	643	635	541	648	763	44.52
718	Yamaguchi University	Japan	45	378+	594+	235+	788	784	664	832	179	44.52
719	Chongqing University	China	45	378+	263	235+	589	902	664	790	856	44.52
720	Ankara University	Turkey	5	378+	357	235+	766	688	541	686	912+	44.52
721	University of Évry Val d'Essonne	France	32	378+	594+	235+	988	363	818+	636	912+	44.52
722	University of Augsburg	Germany	49	378+	594+	235+	826	743	818+	636	719	44.52
723	University of Alabama in Huntsville	USA	196	378+	594+	235+	937	449	664	636	763	44.52
724	Hasselt University	Belgium	8	378+	344	235+	828	914	664	686	821	44.52
725	Paul Valéry University, Montpellier III	France	33	378+	594+	235+	855	573	218	706	912+	44.51
726	University of Mons	Belgium	9	378+	594+	235+	813	717	541	648	600	44.51
727	University of Tehran	Iran	2	200	594+	194	484	902	818+	719	912+	44.51
728	University of Alicante	Spain	24	378+	594+	235+	680	806	664	706	321	44.51
729	Sapporo Medical University	Japan	46	378+	594+	235+	985	849	818+	661	429	44.51
730	National University of La Plata	Argentina	2	378+	534	235+	557	551	664	673	912+	44.51
731	Masaryk University	Czech Republic	4	378+	594+	235+	661	532	664	661	690	44.50
732	University of Natural Resources and Life Sciences, Vienna	Austria	10	378+	594+	235+	752	650	436	661	644	44.50
733	University of Messina	Italy	40	378+	594+	235+	627	819	664	661	912+	44.50
734	Institut national des sciences Appliquées de Lyon	France	34	378+	594+	235+	558	714	541	686	523	44.50
735	University of Castilla–La Mancha	Spain	25	378+	594+	235+	619	765	664	673	536	44.50
736	University of Málaga	Spain	26	378+	594+	235+	649	850	541	750	273	44.50
737	University of Poitiers	France	35	268	594+	149	653	501	541	750	735	44.50
738	Second Military Medical University	China	46	378+	594+	235+	536	621	664	695	482	44.50
739	Vilnius University	Lithuania	1	353	594+	235+	784	608	380	673	745	44.49
740	Kindai University	Japan	47	378+	594+	235+	694	695	436	686	482	44.49
741	Kurume University	Japan	48	378+	594+	235+	983	772	818+	759	237	44.49
742	Rio de Janeiro State University	Brazil	8	378+	562	235+	714	800	436	673	802	44.49
743	Missouri University of Science and Technology	USA	197	378+	266	235+	763	963	664	807	523	44.49
744	San Francisco State University	USA	198	284	594+	208	899	579	541	673	912+	44.49
745	North Dakota State University	USA	199	180	594+	235+	717	802	818+	790	273	44.49
746	Florida Institute of Technology	USA	200	378+	594+	235+	963	745	240	719	912+	44.48
747	University of Haifa	Israel	7	378+	419	235+	552	459	818+	733	523	44.48
748	University of North Texas	USA	201	378+	594+	235+	699	669	541	695	482	44.48
749	Shizuoka University	Japan	49	378+	493	235+	852	754	541	907	175	44.48
750	Blaise Pascal University	France	36	378+	594+	218	710	684	664	686	659	44.48
751	East Carolina University	USA	202	378+	388	235+	713	659	818+	719	516	44.47
752	Kyoto Prefectural University of Medicine	Japan	50	378+	594+	235+	879	767	664	673	912+	44.47
753	Marquette University	USA	203	274	207	235+	931	798	818+	934	719	44.47
754	University of Córdoba (Spain)	Spain	27	378+	594+	235+	628	720	664	695	600	44.47
755	Jaume I University	Spain	28	378+	594+	235+	775	943	664	686	644	44.47
756	National Research Nuclear University MEPhI	Russia	4	331	594+	235+	911	725	436	686	912+	44.47
757	University of Ulster	United Kingdom	56	378+	594+	235+	750	893	436	733	363	44.47
758	University of Technology, Sydney	Australia	22	378+	524	235+	533	657	541	733	461	44.47
759	Université de Namur	Belgium	10	172	440	235+	889	703	664	733	763	44.47
760	Aston University	United Kingdom	57	378+	406	235+	824	948	664	807	267	44.47
761	Ege University	Turkey	6	378+	594+	235+	788	823	380	695	883	44.47
762	Jacobs University Bremen	Germany	50	378+	594+	235+	886	661	541	695	482	44.46
763	University of Salento	Italy	41	378+	594+	235+	688	713	541	695	763	44.46
764	National Sun Yat-sen University	Taiwan	11	378+	594+	235+	484	895	436	733	912+	44.46
765	University of North Carolina at Charlotte	USA	204	378+	311	235+	757	716	541	790	558	44.46
766	École normale supérieure de Cachan	France	37	131	337	235+	895	718	324	878	856	44.46
767	Indian Institute of Technology Kanpur	India	12	186	531	235+	569	902	818+	759	507	44.46
768	G. d'Annunzio University, Chieti-Pescara	Italy	42	378+	594+	235+	732	653	818+	695	883	44.46
769	Sogang University	South Korea	22	378+	497	235+	809	808	818+	925	179	44.45
770	Zhengzhou University	China	47	378+	467	235+	617	760	818+	719	790	44.45
771	Cairo University	Egypt	1	301	455	181	675	700	436	759	912+	44.45
772	Michigan Technological University	USA	205	354	488	235+	806	774	541	719	491	44.45
773	Dublin City University	Ireland	6	378+	498	235+	803	942	541	820	257	44.45
774	Saga University	Japan	51	378+	594+	235+	838	794	818+	733	378	44.45
775	University of Neuchâtel	Switzerland	9	364	594+	235+	884	676	818+	695	674	44.45
