Text Changed,Title & Definition,Cross References,CIP Code,Action,Moved To/Report Under,Moved From
"","Adult Reconstructive Orthopedics (Orthopedic Surgery). A residency training program that prepares individuals to undertake the study, prevention, and reconstructive treatment of musculoskeletal diseases, disorders, and sequelae of injuries by medical, physical, and surgical methods.  Includes instruction in arthritis and related disorders of the hip, knee, shoulder, elbow, ankle, and foot. This CIP code is not valid for IPEDS reporting.","",="60.0265","Deleted","",""
"","Advanced General Dentistry (Cert., MS, PhD) A program that focuses on the advanced study of dental clinical techniques and dental practice issues.  Includes instruction in subjects such as the history of dentistry, advanced dental practice management, dental ethics and jurisprudence, social and behavioral science studies of dentistry, advanced restorative dentistry, oral medicine, oral radiology, advanced clinical procedures and technology, and others.","",="51.0502","No substantive changes","",""
"","Advanced Legal Research/Studies, General (LL.M., M.C.L., M.L.I., M.S.L., J.S.D./S.J.D.) An integrated or undifferentiated program in one or more of  the legal research or advanced practice fields.","",="22.0201","No substantive changes","",""
"","Advanced Military and Operational Studies. A program that focuses on military operational issues at the theatre and general strategic level, emphasizing both land force operations and joint operations related to peacekeeping, war, and other emergencies. Includes instruction in military theory, military history, national and military strategy, campaign design and planning, senior leadership, theatre operational technologies and communications, civil-military relations, and applications to the study of specific world regions and types of operations. This CIP code is not valid for IPEDS reporting.","",="28.0504","New","",""
"","Advanced/Graduate Dentistry and Oral Sciences (Cert., MS, PhD) Instructional content for this group of programs is defined in codes 51.0501 - 51.0599.","",="51.05","No substantive changes","",""
"","Advanced/Graduate Dentistry and Oral Sciences, Other. Any instructional program in advanced/graduate dentistry and oral sciences not listed above.","",="51.0599","No substantive changes","",""
"","Advertising. A program that focuses on the creation, execution, transmission, and evaluation of commercial messages in various media intended to promote and sell products, services, and brands; and that prepares individuals  to function as advertising assistants, technicians, and managers.  Includes instruction in advertising theory, marketing strategy, advertising design and production methods, campaign methods and techniques, media management, related principles of business management, and applicable technical and equipment skills.","",="09.0903","No substantive changes","",""
"","Aeronautical/Aerospace Engineering Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, manufacturing and testing aircraft, spacecraft and their systems.  Includes instruction in aircraft/spacecraft systems technology, design and development testing, prototype and operational testing, inspection and maintenance procedures, instrument calibration, test equipment operation and maintenance, and report preparation.","",="15.0801","No substantive changes","",""
"","Aeronautics/Aviation/Aerospace Science and Technology, General. A program that focuses on the general study of aviation and the aviation industry, including in-flight and ground support operations.  Includes instruction in the technical, business, and general aspects of air transportation systems.","",="49.0101","No substantive changes","",""
"","Aerospace Ground Equipment Technology. A program that focuses on the principles, technology, and maintenance of ground-based systems and equipments used to support aviation flight operations and space operations.  Includes instruction in computer science, electronics, basic sciences and quantitative methods, air conditioning and refrigeration, corrosion control, fluid power, hazardous materials, industrial safety, maintenance management, vehicle and equipment operation, and applications to specific ground support systems.","",="29.0401","New","",""
"","Aerospace Medicine. A residency training program that prepares physicians in the health care of operating crews and passengers of air and space vehicles, plus support personnel.  Includes instruction in special conditions of physical and psychological stress, emergency medical procedures, adaptive systems and artificial environments. This CIP code is not valid for IPEDS reporting.","",="60.0201","Moved from","",""
"","Aerospace Medicine. A residency training program that prepares physicians in the health care of operating crews, support personnel, and passengers of air and space vehicles. Includes instruction in special conditions of physical and psychological stress, emergency medical procedures, adaptive systems and artificial environments. One of three general certificates in the area of preventive medicine. This CIP code is not valid for IPEDS reporting.","",="60.0401","Moved to","",""
"","Aerospace Physiology and Medicine. A program that focuses on the scientific study of the physiological processes involved in low and high-altitude flight and living in space and related low-pressure and low-gravity environments, including sensorimotor interactions, response mechanisms, and the effects of injury, disease, and disability.  Includes instruction in anatomy, molecular and cellular basis of muscle contraction,  fuel utilization, neurophysiology of motor mechanics, systemic physiological responses (respiration, blood flow, endocrine secretions, and others), fatigue and exhaustion, systemic environmental pathologies, muscle and body training, physiology of specific exercises and activities, physiology of injury, and the effects of disabilities and disease.","",="26.0912","New","",""
"","Aerospace, Aeronautical and Astronautical Engineering. Instructional content is defined in code 14.0201.","",="14.02","No substantive changes","",""
"","Aerospace, Aeronautical and Astronautical Engineering. A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of aircraft, missiles, space vehicles, and their systems; applied research on flight and orbital characteristics; and the development of systems and procedures for the launching, guidance, and control of air and space vehicles.","",="14.0201","No substantive changes","",""
"","Aesthetician/Esthetician and Skin Care Specialist. A program that prepares individuals to cleanse, depilate, massage, and beautify the human body and to function as licensed estheticians and skin care specialists.  Includes instruction in skin anatomy, physiology, and health; principles of nutrition; decontamination and infection control; health and safety; facial and body massage; body wrapping and spa treatments; temporary hair removal including waxing and tweezing; color and skin analysis; client consultation and care; applicable laws and regulations; business practices; and sometimes related alternative healing regimens.","",="12.0409","No substantive changes","",""
"","African Languages, Literatures, and Linguistics. Instructional content is defined in code 16.0201.","",="16.02","No substantive changes","",""
"","African Languages, Literatures, and Linguistics. A program that focuses on one or more of the languages native to the African continent, including, but not limited to, Bantu languages, Nilo-Saharan languages, Niger-Congo languages, Khoisan languages, and the Chadic and Ethiopic languages of the Hamito-Semitic language family. Includes instruction in philology, dialects, and oral and written literatures.","",="16.0201","No substantive changes","",""
"","African Studies. A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the African Continent, usually with an emphasis on Africa south of the Sahara, and including the African diasporas overseas.","",="05.0101","No substantive changes","",""
"","African-American/Black Studies. A program that focuses on the history, sociology, politics, culture, and economics of the North American peoples descended from the African diaspora; focusing on the United States, Canada, and the Caribbean, but also including reference to Latin American elements of the diaspora.","",="05.0201","No substantive changes","",""
"","Agribusiness/Agricultural Business Operations. A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities.","",="01.0102","No substantive changes","",""
"","Agricultural and Domestic Animal Services, Other. Any instructional program in agricultural and domestic animal services not listed above.","",="01.0599","No substantive changes","",""
"","Agricultural and Domestic Animal Services. Instructional content for this group of programs is defined in codes 01.0504 - 01.0599.","",="01.05","No substantive changes","",""
"","Agricultural and Extension Education Services. A program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations.  Includes instruction in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable state laws and regulations, and communication skills.","",="01.0801","No substantive changes","",""
"","Agricultural and Food Products Processing. Instructional content is defined in code 01.0401.","",="01.04","No substantive changes","",""
"","Agricultural and Food Products Processing. A program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products.  Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles.","",="01.0401","No substantive changes","",""
"","Agricultural and Horticultural Plant Breeding. A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations.  Includes instruction in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology.","",="01.1104","No substantive changes","",""
"","Agricultural Animal Breeding. A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations.  Includes instruction in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology.","",="01.0902","No substantive changes","",""
"","Agricultural Business and Management, General. A  general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises.","",="01.0101","No substantive changes","",""
"","Agricultural Business and Management, Other. Any instructional program in agricultural business and management not listed above.","",="01.0199","No substantive changes","",""
"","Agricultural Business and Management. Instructional content for this group of programs is defined in codes 01.0101 - 01.0199.","",="01.01","No substantive changes","",""
"","Agricultural Business Technology. A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management.","",="01.0106","No substantive changes","",""
"","Agricultural Communication/Journalism. A program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information.  Includes instruction in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways.","",="01.0802","No substantive changes","",""
"","Agricultural Economics. A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields as well as applicable agricultural fields.","",="01.0103","No substantive changes","",""
"","Agricultural Mechanics and Equipment/Machine Technology. A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding, and shearing operations; and processing systems.","",="01.0205","No substantive changes","",""
"","Agricultural Mechanization, General. A program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities.  Includes instruction in agricultural power systems, planning and selecting materials for the construction of support facilities, mechanical practices associated with irrigation and water conservation, erosion control, and agricultural data processing systems.","",="01.0201","No substantive changes","",""
"","Agricultural Mechanization, Other. Any instructional program in agricultural mechanization not listed above.","",="01.0299","No substantive changes","",""
"","Agricultural Mechanization. Instructional content for this group of programs is defined in codes 01.0201 - 01.0299.","",="01.02","No substantive changes","",""
"","Agricultural Power Machinery Operation. A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, and/or hand-operated nature.  Includes instruction in operating specialized equipment such as terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles.","",="01.0204","No substantive changes","",""
"","Agricultural Production Operations, General. A program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness.","",="01.0301","No substantive changes","",""
"","Agricultural Production Operations, Other. Any instructional program in agricultural production operations not listed above.","",="01.0399","No substantive changes","",""
"","Agricultural Production Operations. Instructional content for this group of programs is defined in codes 01.0301 - 01.0399.","",="01.03","No substantive changes","",""
"","Agricultural Public Services, Other. Any instructional program in general agricultural sciences and related services not listed above.","",="01.0899","No substantive changes","",""
"","Agricultural Public Services. Instructional content for this group of programs is defined in codes 01.0801 - 01.0899.","",="01.08","No substantive changes","",""
"","Agricultural Teacher Education. A program that prepares individuals to teach vocational agricultural programs at various educational levels.","",="13.1301","No substantive changes","",""
"","Agricultural/Biological Engineering and Bioengineering. Instructional content is defined in code 14.0301.","",="14.03","No substantive changes","",""
"","Agricultural/Biological Engineering and Bioengineering. A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems, equipment and facilities for production, processing, storage, handling, distribution and use of food, feed, and fiber. Includes applications to aquaculture, forestry, human and natural resources.","",="14.0301","No substantive changes","",""
"","Agricultural/Farm Supplies Retailing and Wholesaling. A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations.","",="01.0105","No substantive changes","",""
"","Agriculture, Agriculture Operations, and Related Sciences, Other. Instructional content is defined in code 01.9999.","",="01.99","No substantive changes","",""
"","Agriculture, Agriculture Operations, and Related Sciences, Other. Any instructional program in agriculture, agricultural operations, and related sciences not listed above.","",="01.9999","No substantive changes","",""
"","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES. Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations.","",="01","No substantive changes","",""
"","Agriculture, General. A program that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems.  Includes instruction in basic animal, plant, and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming, ranching, and agricultural business.","",="01.0000","No substantive changes","",""
"","Agriculture, General. Instructional content is defined in code 01.0000.","",="01.00","No substantive changes","",""
"","Agroecology and Sustainable Agriculture. A program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. Includes instruction in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management.","",="01.0308","New","",""
"","Agronomy and Crop Science. A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity.","",="01.1102","No substantive changes","",""
"","Air and Space Operational Art and Science. A program that focuses on the principles and art of leading, managing, and conducting air force operations on the ground, in the air, and in space.  Includes instruction in leadership, staff operations, principles of command, air and space warfare, expeditionary operations, campaign planning, tactics and strategy. This CIP code is not valid for IPEDS reporting.","",="28.0502","New","",""
"","Air and Space Operations Technology. A program that focuses on the principles, technology and maintenance of systems and equipment used in aerospace operations.  Includes instruction in astronomy and astronautics, solid state theory, air and space operations, electronics, computer science, aviation and space flight safety, life support systems, flight operations management systems, programming, propulsion systems, weaponry, maintenance management and applications to specific systems and operations.","",="29.0402","New","",""
"","Air Force JROTC/ROTC. Instructional content for this group of programs is defined in codes 28.0101 - 28.0199. These CIP codes are not valid for IPEDS reporting.","",="28.01","No substantive changes","",""
"","Air Force JROTC/ROTC. A program that introduces students to the theory and practice of air science, life in the U.S. Air Force, and prepares them for cadet status (Junior ROTC or JROTC) or for service as commissioned reserve or active duty officers (senior AFROTC or ROTC).  Programs are offered as adjuncts to regular high school or college instructional programs. This CIP code is not valid for IPEDS reporting.","",="28.0101","No substantive changes","",""
"","Air Force ROTC, Air Science and Operations, Other. Any instructional program in Air Force ROTC, air science and operations not listed above. This CIP code is not valid for IPEDS reporting.","",="28.0199","New","",""
"","Air Science/Airpower Studies. A program that focuses on the theory, doctrine and principles of airpower in the tactical and strategic contexts, as well as in conjunction with other armed forces.  Includes instruction in air warfighting, leadership and ethics, national security decisionmaking, strategic studies, global security, joint and coalition operations, and applicable regional or cultural studies and research methods. This CIP code is not valid for IPEDS reporting.","",="28.0501","New","",""
"","Air Traffic Controller. A program that prepares individuals to apply technical knowledge and skills to air-traffic management and control, usually with additional training at the FAA Flight Control Center in a cooperative education program.  Includes instruction in flight control, the use of radar and electronic scanning devices, plotting of flights, radio communication, interpretation of weather conditions affecting flights, flight instrumentation used by pilots, and maintenance of flight-control center or control-tower log books.","",="49.0105","No substantive changes","",""
"","Air Transportation, Other. Any instructional program in aviation and air transportation services not listed above.","",="49.0199","No substantive changes","",""
"","Air Transportation. Instructional content for this group of programs is defined in codes 49.0101 - 49.0199.","",="49.01","No substantive changes","",""
"","Aircraft Armament Systems Technology. A program that focuses on the principles, technology and maintenance of aircraft weapons systems and associated peripherals.  Includes instruction in basic science and quantitative methods, computer science, electronics, engineering graphics, fluid power, heavy equipment operation, armament systems, weapon materials and processes, weapon safety, corrosion control, aircraft systems maintenance, and maintenance management.","",="29.0403","New","",""
"","Aircraft Pilot (Private). A program that prepares individuals to fly aircraft for personal use, and qualifies individuals to sit for the FAA pilot's license examination.  Includes instruction in principles of aircraft design and performance; aircraft flight systems and controls; flight crew operations and procedures; radio communications and navigation procedures and systems; airways safety and traffic regulations; and governmental rules and regulations pertaining to piloting aircraft. This CIP code is not valid for IPEDS reporting.","",="36.0119","No substantive changes","",""
"","Aircraft Powerplant Technology/Technician. A program that prepares individuals to apply technical knowledge and skills to repair, service, and maintain all types of aircraft powerplant and related systems.  Instruction includes engine inspection and maintenance, lubrication and cooling, electrical and ignition systems, carburetion, fuels and fuel systems, propeller and fan assemblies.","",="47.0608","No substantive changes","",""
"","Airframe Mechanics and Aircraft Maintenance Technology/Technician. A program that prepares individuals to apply technical knowledge and skills to repair, service, and maintain all aircraft components other than engines, propellers, avionics, and instruments.  Includes instruction in layout and fabrication of sheet metal, fabric, wood, and other materials into structural members, parts, and fittings, and replacement of damaged or worn parts such as control cables and hydraulic units.","",="47.0607","No substantive changes","",""
"","Airline Flight Attendant. A program that prepares individuals to apply technical knowledge and skills to the performance of a variety of personal services conducive to the safety and comfort of airline passengers during flight, including verifying tickets, explaining the use of safety equipment, providing passenger services, and responding to in-flight emergencies.","",="49.0106","No substantive changes","",""
"","Airline/Commercial/Professional Pilot and Flight Crew. A program that prepares individuals to apply technical knowledge and skills to the flying and/or navigation of commercial passenger and cargo, agricultural, public service, corporate and rescue fixed wing aircraft.  Includes instruction in principles of aircraft design and performance, aircraft flight systems and controls, flight crew operations and procedures, radio communications, navigation procedures and systems, airways safety and traffic regulations, and governmental rules and regulations pertaining to piloting aircraft.  Programs may qualify individuals to sit for the FAA commercial and airline aircrew examinations.","",="49.0102","No substantive changes","",""
"","Albanian Language and Literature. A program that focuses on the Albanian language. Includes instruction in Albanian/Illyrian philology; Ghegg and Tosk dialects; and applications to business, science/technology, and other settings.","",="16.0404","No substantive changes","",""
"","Algebra and Number Theory. A program that focuses on the expression of quantities and their relationships by means of symbols, vectors, matrices, and equations, and the properties of integers.  Includes instruction in algebraic structures, quadratic and automorphic forms, combinatorics, linear algebra, and algebraic geometry.","",="27.0102","No substantive changes","",""
"","Allergies and Immunology. A residency training program that prepares physicians in the delivery of skilled medical care to patients suffering from allergic, asthmatic and immunologic diseases.  Requires completion of a prior program in internal medicine or pediatrics. This CIP code is not valid for IPEDS reporting.","",="60.0402","Moved to","",""
"","Allergies and Immunology. A residency training program that prepares physicians in the delivery of skilled medical care to patients suffering from allergic, asthmatic and immunologic diseases.  Requires completion of a prior program in internal medicine or pediatrics. This CIP code is not valid for IPEDS reporting.","",="60.0202","Moved from","",""
"","Allied Health and Medical Assisting Services, Other. Any instructional program in allied health and medical assisting services not listed above.","",="51.0899","No substantive changes","",""
"","Allied Health and Medical Assisting Services. Instructional content for this group of programs is defined in codes 51.0801 - 51.0899.","",="51.08","No substantive changes","",""
"","Allied Health Diagnostic, Intervention, and Treatment Professions, Other. Any instructional program in allied health diagnostic, intervention, and treatment professions not listed above.","",="51.0999","No substantive changes","",""
"","Allied Health Diagnostic, Intervention, and Treatment Professions. Instructional content for this group of programs is defined in codes 51.0901 - 51.0999.","",="51.09","No substantive changes","",""
"","Alternative and Complementary Medical Support Services, Other. Any instructional program in alternative and complementary medical support services not listed above.","",="51.3499","No substantive changes","",""
"","Alternative and Complementary Medical Support Services. Instructional content for this group of programs is defined in codes 51.3401 - 51.3499.","",="51.34","No substantive changes","",""
"","Alternative and Complementary Medicine and Medical Systems, General. A general program that focuses on the theories, science, and practice of alternative and complementary medicine and medical systems. Includes instruction in understanding acupuncture, herbal medicine, naturopathy, homeopathy, and other alternative and complementary medicine modalities; mind-body therapies; nutrition; comparison of conventional and alternative medicine; and medical ethics; and may include training in specific alternative and complementary medicine modalities.","",="51.3300","New","",""
"","Alternative and Complementary Medicine and Medical Systems, Other. Any instructional program in alternative and complementary medicine and medical systems not listed above.","",="51.3399","No substantive changes","",""
"","Alternative and Complementary Medicine and Medical Systems. Instructional content for this group of programs is defined in codes 51.3300 - 51.3399.","",="51.33","No substantive changes","",""
"","Alternative Fuel Vehicle Technology/Technician. A program that prepares individuals to apply technical knowledge and skills to the maintenance of alternative fuel vehicles and the conversion of standard vehicles to AFV status.  Includes instruction in electrical vehicles, liquefied petroleum gas (LPG) vehicles, compressed natural gas (CNG) vehicles, hybrid fuel technology, electrical and electronic systems, engine performance, diagnosis and repair, and conversion/installation.","",="47.0614","No substantive changes","",""
"","American  History (United States). A program that focuses on the development of American society, culture, and institutions from the Pre-Columbian period to the present.  Includes instruction in American historiography, American history sources and materials, historical research methods, and applications to the study of specific themes, issues, periods, and institutions.","",="54.0102","No substantive changes","",""
"","American Citizenship Education. A program that prepares individuals to take the oath of United States citizenship and to exercise the attendant rights and responsibilities of citizenship. This CIP code is not valid for IPEDS reporting.","",="33.0102","No substantive changes","",""
"","American Government and Politics (United States). A program that focuses on the systematic study of United States political institutions and behavior.  Includes instruction in American political theory, political parties and interest groups, state and local governments, Constitutional law, federalism and national institutions, executive and legislative politics, judicial politics, popular attitudes and media influences, political research methods, and applications to the study of specific issues and institutions.","",="45.1002","No substantive changes","",""
"","American Indian/Native American Languages, Literatures, and Linguistics. Instructional content is defined in code 16.1001.","",="16.10","No substantive changes","",""
"","American Indian/Native American Languages, Literatures, and Linguistics. A program that focuses on one or more of the languages native to the Western Hemisphere, with an emphasis on American Indian languages, but including other Native American languages. Includes instruction in philology; oral and written literatures; Inuit and Aleut languages; Hawaiian; North American language families, including, but not limited to, Algonkian, Athabascan, Siouan, Muskogean, Iroquoian, Yuman, Mayan, Zapotecan, and Uto-Aztecan; South American language families, including, but not limited to, Andean-Equatorial, Ge-Pano-Carib, and Macro-Chibchan; and other minor languages.","",="16.1001","No substantive changes","",""
"","American Indian/Native American Studies. A program that focuses on the history, sociology, politics, culture, and economics of one or more of the American Indian, Aleut, Inuit, Hawaiian and other native peoples of the Americas from earliest times until the present, with particular emphasis on U.S. and Canadian populations and their problems but including reference to Caribbean and Latin American native peoples.","",="05.0202","No substantive changes","",""
"","American Literature (Canadian). A program that focuses on the literature and literary development, both formal and folkloric, of Canada from its origins to the present.  Includes instruction in period and genre studies, author studies, literary criticism, and regional and oral traditions.","",="23.1403","Moved to","",""
"","American Literature (Canadian). A program that focuses on the literature and literary development, both formal and folkloric, of Canada from its origins to the present.  Includes instruction in period and genre studies, author studies, literary criticism, and regional and oral traditions.","",="23.0702","Moved from","",""
"","American Literature (United States and Canadian.)","",="23.07","Deleted","",""
